year,age,race,sex,marital,educ,degree,sibs,agekdbrn,coninc,region,partyid,wrkstat,hrs1,earnrs,happy,health,relig,attend,postlife,socrel,news,tvhours,satjob,class,satfin,polviews,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,fear,owngun,hunt,gunlaw,grass,courts,fepol,fefam,fehire,vote_last_pres_election
2018,42,black,male,married,11,less than high school,1,20,31544.999999999996,south,strong democrat,working full time,58,1,very happy,good,protestant,nearly every week,yes,once or twice a week,never,8,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,strongly agree,voted
1998,35,white,male,married,16,bachelor's,2,31,88273,south,not very strong democrat,working full time,60,2,pretty happy,excellent,protestant,several times a year,don't know,almost daily,every day,1,moderately satisfied,middle class,more or less satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, respondent does",oppose,iap,not harshly enough,disagree,disagree,iap,voted
2018,69,other,female,married,12,high school,NA,17,NA,south,not very strong democrat,retired,NA,0,very happy,excellent,none,never,yes,iap,iap,NA,iap,no answer,more or less satisfied,don't know,a great deal,don't know,only some,only some,no answer,don't know,a great deal,hardly any,hardly any,a great deal,a great deal,don't know,a great deal,yes,no,"no, neither r nor spouse hunts",don't know,should not be legal,not harshly enough,iap,iap,iap,voted
2018,51,other,male,divorced,20,graduate,2,28,152135.07879,west,no answer,"with a job, but not at work because of temporary illness, vacation, strike",NA,3,pretty happy,iap,catholic,every week,yes,about once a month,once a week,1,moderately satisfied,working class,more or less satisfied,slightly liberal,a great deal,only some,only some,hardly any,only some,only some,only some,only some,hardly any,a great deal,only some,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,ineligible
2018,69,other,female,divorced,14,high school,4,21,22782.5,west,not very strong republican,working part time,22,1,not too happy,fair,protestant,about once a month,yes,iap,iap,NA,very satisfied,lower class,not satisfied at all,conservative,only some,only some,only some,hardly any,only some,only some,hardly any,only some,hardly any,a great deal,only some,only some,a great deal,yes,no,"no, neither r nor spouse hunts",oppose,should not be legal,not harshly enough,iap,iap,iap,voted
1998,27,other,female,married,14,high school,3,21,29424,west,not very strong democrat,working full time,40,2,pretty happy,good,catholic,about once a month,iap,iap,iap,NA,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",only some,only some,only some,only some,a great deal,only some,hardly any,only some,hardly any,only some,only some,only some,a great deal,yes,no,"no, neither r nor spouse hunts",don't know,should not be legal,not harshly enough,iap,iap,iap,did not vote
1998,58,white,female,married,13,high school,2,20,22737,midwest,not very strong republican,working full time,40,1,pretty happy,fair,protestant,every week,iap,iap,iap,NA,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",only some,a great deal,hardly any,a great deal,only some,hardly any,hardly any,a great deal,hardly any,only some,only some,hardly any,a great deal,yes,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
1998,46,white,female,married,16,associate/junior college,4,23,148796,west,"independent, close to democrat",working full time,70,2,pretty happy,good,protestant,less than once a year,yes,iap,iap,1,very satisfied,upper class,pretty well satisfied,liberal,a great deal,only some,hardly any,a great deal,a great deal,hardly any,hardly any,a great deal,hardly any,only some,a great deal,only some,only some,yes,no,"no, neither r nor spouse hunts",favor,should be legal,not harshly enough,iap,iap,iap,voted
1998,41,white,female,married,14,high school,3,18,58849,midwest,"independent, close to democrat",working full time,70,3,pretty happy,excellent,protestant,about once a month,iap,iap,iap,NA,very satisfied,working class,not satisfied at all,"moderate, middle of the road",only some,only some,only some,only some,hardly any,hardly any,only some,hardly any,only some,only some,only some,hardly any,a great deal,no,yes,"yes, spouse does",oppose,should not be legal,not harshly enough,iap,iap,iap,did not vote
2018,20,white,female,never married,12,high school,6,NA,NA,northeast,"independent (neither, no response)",working full time,38,3,pretty happy,excellent,catholic,2-3 times a month,yes,iap,iap,NA,very satisfied,working class,pretty well satisfied,don't know,a great deal,only some,a great deal,a great deal,a great deal,only some,only some,a great deal,only some,a great deal,a great deal,a great deal,a great deal,no,no,"no, neither r nor spouse hunts",oppose,should be legal,don't know,iap,iap,iap,did not vote
2018,28,white,male,never married,16,graduate,0,NA,112160,northeast,strong democrat,working full time,89,3,pretty happy,excellent,none,never,don't know,iap,iap,NA,moderately satisfied,middle class,pretty well satisfied,liberal,only some,only some,only some,only some,hardly any,only some,a great deal,a great deal,only some,only some,a great deal,hardly any,a great deal,no,no,"no, neither r nor spouse hunts",favor,should be legal,about right,iap,iap,iap,voted
2018,53,black,male,married,12,high school,6,23,13143.75,south,"independent, close to republican",working full time,30,2,pretty happy,fair,catholic,never,yes,almost daily,never,2,very satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,don't know,disagree,agree,strongly agree,did not vote
1998,41,white,female,never married,14,high school,2,18,25412,northeast,"independent (neither, no response)",working full time,40,1,pretty happy,excellent,protestant,about once a month,yes,about once a month,once a week,2,moderately satisfied,working class,not satisfied at all,liberal,only some,a great deal,only some,a great deal,only some,only some,only some,a great deal,only some,only some,hardly any,only some,hardly any,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,no answer
1998,27,black,female,divorced,12,high school,6,18,12037,south,not very strong democrat,working full time,36,1,pretty happy,fair,protestant,about once a month,yes,iap,iap,3,moderately satisfied,working class,more or less satisfied,slightly conservative,only some,only some,only some,a great deal,only some,only some,only some,hardly any,a great deal,hardly any,don't know,only some,hardly any,yes,no,"no, neither r nor spouse hunts",favor,should be legal,about right,iap,iap,iap,voted
2018,37,white,male,married,12,high school,2,27,57832.5,midwest,"independent (neither, no response)",working full time,60,3,pretty happy,fair,catholic,never,yes,once or twice a week,never,2,very satisfied,working class,more or less satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, respondent does",favor,iap,not harshly enough,disagree,disagree,iap,did not vote
1998,39,white,female,married,18,bachelor's,2,28,NA,south,"independent, close to republican",working part time,14,2,very happy,excellent,protestant,nearly every week,yes,once or twice a week,every day,3,very satisfied,middle class,pretty well satisfied,slightly conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly agree,iap,voted
1998,37,white,female,divorced,13,high school,3,18,29424,midwest,strong democrat,working full time,40,2,pretty happy,good,protestant,about once a month,no,once or twice a week,a few times a week,4,a little dissatisfied,middle class,more or less satisfied,extremely liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,no answer,favor,iap,not harshly enough,disagree,disagree,iap,voted
1998,22,white,male,never married,15,associate/junior college,1,NA,9630,northeast,not very strong republican,working full time,48,1,pretty happy,good,protestant,about once or twice a year,don't know,several times a month,once a week,2,a little dissatisfied,middle class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,did not vote
1998,22,white,female,never married,16,high school,2,NA,72223,northeast,not very strong democrat,working full time,48,3,pretty happy,good,none,several times a year,yes,almost daily,never,2,very satisfied,middle class,more or less satisfied,slightly liberal,only some,only some,only some,hardly any,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,hardly any,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,did not vote
1998,48,white,female,married,12,high school,6,22,34774,south,"independent (neither, no response)","unemployed, laid off, looking for work",NA,2,pretty happy,excellent,other,several times a week,don't know,almost daily,a few times a week,6,very dissatisfied,lower class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,disagree,iap,did not vote
2018,49,white,male,married,15,high school,2,NA,38555,west,strong democrat,in school,NA,1,pretty happy,good,none,never,don't know,about once a month,never,1,iap,working class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",oppose,iap,about right,disagree,disagree,iap,voted
2018,59,white,male,married,13,high school,1,24,38555,west,"independent, close to republican",working full time,44,1,pretty happy,good,protestant,every week,yes,iap,iap,NA,a little dissatisfied,working class,not satisfied at all,"moderate, middle of the road",only some,only some,hardly any,only some,only some,hardly any,hardly any,a great deal,only some,only some,only some,only some,a great deal,yes,refused,"yes, respondent does",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,73,black,male,widowed,12,less than high school,6,20,NA,south,strong republican,retired,NA,NA,pretty happy,iap,catholic,about once a month,yes,almost daily,once a week,8,iap,middle class,pretty well satisfied,"moderate, middle of the road",a great deal,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,agree,agree,iap,voted
1998,28,white,male,never married,16,bachelor's,4,NA,NA,west,not very strong democrat,working part time,30,3,pretty happy,good,none,less than once a year,no,once or twice a week,a few times a week,1,a little dissatisfied,middle class,more or less satisfied,slightly liberal,hardly any,only some,only some,only some,only some,a great deal,only some,only some,only some,a great deal,only some,only some,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,voted
1998,46,white,female,married,16,bachelor's,3,28,72223,west,not very strong republican,working full time,40,2,very happy,good,protestant,about once a month,iap,iap,iap,NA,very satisfied,middle class,more or less satisfied,slightly conservative,only some,only some,hardly any,only some,only some,only some,hardly any,a great deal,hardly any,only some,a great deal,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
1998,38,white,female,married,10,less than high school,6,18,34774,south,not very strong democrat,keeping house,NA,3,very happy,good,catholic,several times a week,yes,once or twice a week,a few times a week,2,very satisfied,working class,pretty well satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, spouse does",favor,iap,not harshly enough,disagree,disagree,iap,voted
1998,53,white,female,married,16,bachelor's,2,25,58849,west,"independent, close to republican",working part time,40,3,very happy,good,protestant,several times a week,yes,several times a month,a few times a week,2,very satisfied,middle class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"yes, spouse does",favor,iap,not harshly enough,disagree,disagree,iap,voted
1998,74,white,male,married,16,bachelor's,3,25,40124,south,not very strong republican,working full time,50,1,pretty happy,good,protestant,never,don't know,iap,iap,2,very satisfied,middle class,more or less satisfied,conservative,only some,a great deal,only some,only some,hardly any,only some,only some,only some,only some,a great deal,a great deal,only some,a great deal,yes,yes,"no, neither r nor spouse hunts",oppose,should not be legal,about right,iap,iap,iap,voted
1998,66,white,male,married,16,bachelor's,4,26,34774,south,"independent (neither, no response)",working part time,30,2,pretty happy,excellent,catholic,nearly every week,no,iap,iap,1,moderately satisfied,middle class,pretty well satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
2018,44,white,female,married,20,graduate,6,35,98140,west,not very strong republican,working full time,45,2,not too happy,iap,protestant,about once a month,yes,several times a year,less than once a week,1,moderately satisfied,middle class,pretty well satisfied,slightly conservative,only some,a great deal,a great deal,a great deal,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,only some,a great deal,iap,iap,iap,iap,should be legal,don't know,disagree,strongly disagree,neither agree nor disagree,did not vote
2018,43,white,male,never married,12,high school,2,NA,38555,northeast,not very strong republican,working full time,89,1,pretty happy,excellent,catholic,every week,yes,iap,iap,NA,very satisfied,working class,more or less satisfied,slightly conservative,hardly any,only some,only some,hardly any,hardly any,only some,hardly any,only some,hardly any,only some,a great deal,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,should be legal,not harshly enough,iap,iap,iap,voted
1998,50,white,female,married,10,less than high school,6,21,40124,northeast,"independent (neither, no response)",keeping house,NA,2,pretty happy,good,protestant,never,yes,once or twice a week,less than once a week,3,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, spouse does",favor,iap,not harshly enough,disagree,strongly agree,iap,did not vote
1998,32,white,female,never married,16,bachelor's,1,NA,22737,midwest,strong democrat,working full time,50,1,pretty happy,good,catholic,about once a month,yes,iap,iap,1,very satisfied,middle class,more or less satisfied,slightly liberal,a great deal,a great deal,only some,a great deal,only some,only some,hardly any,a great deal,hardly any,a great deal,only some,only some,only some,no,no,"no, neither r nor spouse hunts",favor,should not be legal,too harshly,iap,iap,iap,voted
1998,35,white,female,married,10,high school,4,26,34774,south,"independent (neither, no response)",keeping house,NA,2,pretty happy,good,catholic,about once or twice a year,yes,several times a year,less than once a week,3,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,voted
2018,38,white,male,married,16,bachelor's,1,NA,152135.07879,northeast,strong democrat,working full time,52,2,pretty happy,excellent,none,several times a year,no,iap,iap,NA,very satisfied,upper class,more or less satisfied,liberal,only some,hardly any,hardly any,only some,hardly any,a great deal,a great deal,only some,only some,only some,a great deal,hardly any,only some,no,no,"no, neither r nor spouse hunts",favor,should be legal,too harshly,iap,iap,iap,voted
2018,37,black,female,married,16,bachelor's,5,20,57832.5,south,no answer,keeping house,NA,1,not too happy,excellent,protestant,every week,yes,about once a year,never,3,moderately satisfied,middle class,more or less satisfied,no answer,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly agree,iap,no answer
1998,87,white,female,never married,12,high school,3,NA,12037,west,"independent, close to democrat",retired,NA,0,pretty happy,fair,protestant,less than once a year,yes,once or twice a week,never,0,iap,middle class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,don't know,only some,only some,don't know,only some,a great deal,only some,hardly any,iap,iap,iap,iap,should not be legal,about right,agree,agree,iap,voted
1998,24,black,male,never married,11,less than high school,1,22,17387,midwest,"independent, close to democrat",working part time,25,2,pretty happy,excellent,none,never,iap,iap,iap,NA,a little dissatisfied,working class,not satisfied at all,don't know,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,hardly any,no,yes,"no, neither r nor spouse hunts",oppose,should be legal,too harshly,iap,iap,iap,did not vote
1998,43,white,male,never married,12,high school,4,NA,106998,south,not very strong democrat,working full time,40,2,pretty happy,good,protestant,never,iap,iap,iap,NA,moderately satisfied,working class,pretty well satisfied,"moderate, middle of the road",only some,a great deal,a great deal,a great deal,only some,only some,a great deal,a great deal,a great deal,a great deal,a great deal,only some,only some,no,yes,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,46,black,female,never married,13,associate/junior college,2,19,31544.999999999996,northeast,strong democrat,working full time,45,3,pretty happy,iap,protestant,less than once a year,yes,several times a month,never,3,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",a great deal,only some,only some,hardly any,hardly any,only some,only some,a great deal,only some,only some,a great deal,only some,a great deal,iap,iap,iap,iap,should be legal,not harshly enough,disagree,strongly disagree,agree,voted
1998,69,white,male,married,12,high school,2,28,48149,west,not very strong republican,working full time,35,2,pretty happy,excellent,protestant,several times a year,yes,iap,iap,2,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,a great deal,only some,only some,a great deal,a great deal,a great deal,a great deal,a great deal,only some,only some,no,yes,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,63,white,female,divorced,15,associate/junior college,6,22,NA,west,strong democrat,"unemployed, laid off, looking for work",NA,3,pretty happy,good,protestant,2-3 times a month,yes,never,never,2,very satisfied,lower class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",oppose,iap,about right,disagree,disagree,agree,voted
2018,70,white,female,married,17,associate/junior college,2,25,152135.07879,midwest,"independent, close to republican",retired,NA,1,pretty happy,iap,protestant,never,yes,several times a year,never,3,iap,middle class,pretty well satisfied,"moderate, middle of the road",only some,a great deal,only some,only some,a great deal,only some,hardly any,a great deal,hardly any,a great deal,only some,only some,a great deal,iap,iap,iap,iap,don't know,not harshly enough,disagree,strongly disagree,strongly agree,voted
1998,27,white,female,married,14,associate/junior college,3,27,NA,northeast,strong republican,keeping house,NA,2,very happy,excellent,catholic,every week,yes,several times a month,a few times a week,1,moderately satisfied,working class,pretty well satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,yes,"yes, both do",oppose,iap,not harshly enough,agree,disagree,iap,voted
1998,48,white,male,married,14,high school,2,25,72223,west,"independent (neither, no response)",working full time,60,3,very happy,excellent,protestant,never,yes,once or twice a week,every day,3,very satisfied,working class,pretty well satisfied,slightly conservative,only some,only some,only some,hardly any,hardly any,only some,hardly any,only some,only some,only some,only some,hardly any,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
1998,50,white,male,married,14,high school,2,25,NA,south,"independent (neither, no response)","with a job, but not at work because of temporary illness, vacation, strike",NA,1,pretty happy,poor,none,never,don't know,about once a month,every day,2,moderately satisfied,middle class,not satisfied at all,"moderate, middle of the road",a great deal,only some,only some,hardly any,hardly any,hardly any,hardly any,a great deal,hardly any,only some,only some,hardly any,hardly any,iap,iap,iap,iap,should be legal,not harshly enough,disagree,agree,iap,did not vote
1998,19,other,male,never married,13,high school,3,NA,40124,west,"independent, close to democrat",working full time,48,3,very happy,excellent,catholic,several times a week,yes,iap,iap,1,very satisfied,working class,more or less satisfied,extremely conservative,only some,only some,only some,only some,a great deal,a great deal,only some,a great deal,only some,a great deal,a great deal,a great deal,a great deal,yes,no,"yes, respondent does",favor,should be legal,too harshly,iap,iap,iap,ineligible
1998,43,white,female,divorced,14,associate/junior college,3,NA,48149,northeast,not very strong democrat,working full time,40,2,pretty happy,good,catholic,less than once a year,yes,several times a year,every day,5,very dissatisfied,working class,more or less satisfied,liberal,only some,only some,only some,only some,hardly any,only some,only some,only some,only some,a great deal,only some,only some,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,voted
1998,29,white,male,never married,14,associate/junior college,0,NA,17387,west,"independent, close to republican",working full time,70,1,pretty happy,good,none,about once a month,yes,several times a year,every day,2,moderately satisfied,middle class,more or less satisfied,conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"yes, respondent does",favor,iap,not harshly enough,disagree,strongly disagree,iap,voted
1998,46,other,female,married,15,high school,3,20,148796,south,strong republican,in school,NA,2,very happy,excellent,none,never,don't know,once or twice a week,a few times a week,1,iap,middle class,more or less satisfied,extremely conservative,hardly any,only some,hardly any,hardly any,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,hardly any,hardly any,iap,iap,iap,iap,should be legal,not harshly enough,disagree,strongly disagree,iap,voted
2018,24,black,male,never married,16,bachelor's,1,NA,98140,midwest,other party,"unemployed, laid off, looking for work",NA,3,pretty happy,excellent,protestant,about once or twice a year,yes,iap,iap,NA,moderately satisfied,working class,pretty well satisfied,extremely liberal,hardly any,only some,only some,only some,hardly any,only some,hardly any,only some,only some,hardly any,a great deal,hardly any,only some,no,yes,"no, neither r nor spouse hunts",oppose,should be legal,too harshly,iap,iap,iap,did not vote
1998,58,black,male,married,12,high school,NA,20,NA,west,"independent (neither, no response)",working full time,40,3,pretty happy,good,none,never,yes,once or twice a week,every day,1,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",don't know,iap,don't know,don't know,agree,iap,voted
2018,50,white,female,married,14,associate/junior college,1,28,152135.07879,south,"independent, close to republican",working full time,36,3,pretty happy,iap,catholic,about once or twice a year,yes,once or twice a week,never,2,very satisfied,middle class,not satisfied at all,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,strongly agree,iap,voted
2018,57,white,female,married,12,high school,6,19,70100,midwest,not very strong democrat,working full time,50,3,pretty happy,good,none,never,no,several times a month,every day,2,a little dissatisfied,working class,more or less satisfied,slightly liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,strongly disagree,disagree,voted
2018,65,black,male,married,12,high school,6,21,NA,south,strong republican,working full time,40,3,pretty happy,iap,protestant,never,no,once or twice a week,once a week,2,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",only some,only some,hardly any,only some,only some,only some,hardly any,only some,hardly any,only some,only some,only some,a great deal,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,voted
2018,70,white,male,married,12,high school,2,20,26287.5,northeast,strong republican,retired,NA,0,pretty happy,iap,protestant,never,yes,several times a year,once a week,5,iap,lower class,not satisfied at all,conservative,only some,only some,only some,hardly any,a great deal,only some,hardly any,only some,hardly any,only some,only some,hardly any,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
1998,88,white,male,married,12,high school,1,25,34774,west,"independent (neither, no response)",retired,NA,0,very happy,good,protestant,about once or twice a year,iap,iap,iap,NA,iap,middle class,more or less satisfied,"moderate, middle of the road",only some,hardly any,only some,only some,only some,only some,only some,only some,only some,only some,hardly any,hardly any,a great deal,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,18,white,female,never married,12,high school,2,NA,NA,midwest,"independent (neither, no response)",working full time,40,2,very happy,excellent,none,never,no,iap,iap,NA,very satisfied,upper class,more or less satisfied,liberal,hardly any,a great deal,hardly any,only some,only some,only some,hardly any,a great deal,only some,a great deal,only some,only some,a great deal,no,no,"no, neither r nor spouse hunts",oppose,should be legal,too harshly,iap,iap,iap,ineligible
1998,42,white,female,divorced,14,associate/junior college,3,23,34774,midwest,"independent, close to republican",working full time,42,2,pretty happy,excellent,catholic,several times a year,don't know,several times a month,a few times a week,2,moderately satisfied,middle class,not satisfied at all,slightly conservative,a great deal,a great deal,only some,only some,hardly any,hardly any,only some,only some,hardly any,only some,a great deal,only some,hardly any,iap,iap,iap,iap,should not be legal,don't know,disagree,disagree,iap,voted
2018,30,black,female,never married,17,bachelor's,5,NA,152135.07879,south,not very strong democrat,working full time,40,3,pretty happy,fair,protestant,about once a month,yes,iap,iap,NA,moderately satisfied,middle class,more or less satisfied,"moderate, middle of the road",hardly any,only some,only some,only some,hardly any,only some,hardly any,only some,hardly any,only some,only some,only some,only some,no,yes,"no, neither r nor spouse hunts",favor,should be legal,too harshly,iap,iap,iap,voted
1998,33,white,female,widowed,14,high school,6,27,88273,west,not very strong democrat,working part time,4,2,very happy,good,protestant,nearly every week,yes,iap,iap,1,very satisfied,working class,more or less satisfied,"moderate, middle of the road",hardly any,only some,only some,hardly any,only some,only some,hardly any,only some,hardly any,only some,hardly any,only some,only some,yes,no,"no, neither r nor spouse hunts",oppose,should not be legal,not harshly enough,iap,iap,iap,voted
2018,60,white,female,divorced,11,high school,3,18,13143.75,west,"independent, close to republican",retired,NA,1,pretty happy,fair,protestant,never,yes,iap,iap,NA,iap,lower class,more or less satisfied,slightly conservative,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,a great deal,only some,hardly any,a great deal,hardly any,a great deal,yes,no,"no, neither r nor spouse hunts",oppose,should be legal,about right,iap,iap,iap,voted
2018,37,other,female,divorced,19,graduate,6,32,47317.5,west,not very strong democrat,working full time,40,2,pretty happy,good,protestant,every week,yes,iap,iap,NA,very satisfied,working class,more or less satisfied,"moderate, middle of the road",a great deal,only some,only some,hardly any,only some,only some,only some,only some,hardly any,hardly any,a great deal,hardly any,only some,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
2018,40,other,male,divorced,10,less than high school,4,21,84120,south,"independent (neither, no response)",working full time,70,3,pretty happy,good,protestant,about once a month,yes,about once a month,never,2,very satisfied,working class,not satisfied at all,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,yes,"no, neither r nor spouse hunts",favor,iap,about right,disagree,disagree,iap,did not vote
2018,38,black,female,never married,11,less than high school,6,18,7886.249999999999,south,strong democrat,keeping house,NA,1,not too happy,fair,protestant,every week,yes,iap,iap,NA,moderately satisfied,lower class,not satisfied at all,slightly liberal,only some,hardly any,only some,only some,hardly any,only some,only some,only some,only some,only some,only some,hardly any,only some,no,no,"no, neither r nor spouse hunts",favor,should be legal,too harshly,iap,iap,iap,voted
1998,22,white,male,never married,11,high school,3,NA,22737,west,not very strong republican,working full time,50,3,not too happy,excellent,protestant,never,yes,about once a month,a few times a week,2,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",a great deal,only some,a great deal,only some,hardly any,only some,hardly any,a great deal,only some,a great deal,only some,only some,only some,iap,iap,iap,iap,should not be legal,too harshly,disagree,disagree,iap,did not vote
2018,25,black,female,never married,12,high school,6,NA,11391.25,south,"independent (neither, no response)",working part time,20,2,pretty happy,excellent,none,less than once a year,yes,iap,iap,NA,very satisfied,working class,more or less satisfied,don't know,a great deal,a great deal,a great deal,only some,only some,only some,a great deal,a great deal,only some,a great deal,a great deal,a great deal,a great deal,yes,no,"no, neither r nor spouse hunts",oppose,should be legal,not harshly enough,iap,iap,iap,did not vote
2018,65,white,female,divorced,19,graduate,3,31,70100,midwest,strong democrat,working full time,35,1,very happy,good,protestant,nearly every week,yes,several times a year,every day,2,moderately satisfied,middle class,not satisfied at all,extremely liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,strongly disagree,strongly agree,voted
2018,25,white,male,never married,14,high school,1,NA,57832.5,west,"independent (neither, no response)",working part time,8,3,not too happy,iap,none,never,don't know,about once a month,a few times a week,8,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",hardly any,hardly any,hardly any,only some,hardly any,only some,only some,hardly any,only some,only some,a great deal,only some,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,disagree,iap,did not vote
2018,52,white,male,never married,12,high school,1,NA,26287.5,northeast,not very strong democrat,working full time,40,2,pretty happy,good,catholic,never,yes,about once a year,every day,5,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,about right,disagree,disagree,iap,did not vote
2018,53,white,male,married,14,associate/junior college,1,28,70100,south,strong republican,retired,NA,0,very happy,iap,protestant,several times a year,yes,once or twice a week,never,6,iap,middle class,pretty well satisfied,conservative,only some,a great deal,a great deal,only some,a great deal,only some,hardly any,only some,hardly any,a great deal,only some,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,agree,iap,voted
