field_plot_number,date,location,transect_number,latitude,longitude,geographic_landmark,elevation,plot_radius,plot_size,site_physiography,slope,aspect,surface_geomorphology_unit,subsurface_geomorphology_unit ,macrotopography,microtopography,microrelief,water_regime,water_depth,saturated_less_than_30cm,drainage,soil_moisture,lowest_mottle_depth,low_matrix_depth,hydric_soil,water_ph,water_conductivity,soil_ph_10cm,soil_ph_30cm,soil_conductivity,site_ph,site_conductivity,site_chemistry,thaw_depth,permafrost,top_organic_layer_depth,cumulative_organic_layers,dominant_mineral_texture_top_40cm,loess_thickness,root_depth,surface_fragment_cover,frost_boils,rock_depth,cryoturbation,soil_stratigraphy,soil_sample,soil_plug_probe_max_depth,soil_sampling_method,soil_class,soil_association,vegetation_classification,ecotype_veg_structure,disturbance_classes,field_floristic_class,field_floristic_class,final_floristic_class,plot_ecotype,dominant_plants,ecotype_analysis,environmental_outliers,vegetation_outlier,geomorphology_data_review,ecotype_rare,veg_sampling_quality,ecotype_abbrev,map_ecotype_arctic_network_nps,map_ecotype_abbrev_arctic_network_nps,map_veg_arctic_network_nps,soil_landscape_description,cover_needleleaf_trees,needleleaf_tree_crown_class,cover_broadleaf_trees,broadleaf_tree_crown_class,cover_dwarf_broadleaf,dwarf_broadleaf_crown_class,Cover_dwarf_needleleaf,cover_dwarf_needleaf,cover_standing_dead_trees,cover_tall_shrubs,cover_low_shrubs,cover_dwarf_shrubs,cover_graminoids,cover_tussock,cover_forbs,cover_mosses,cover_lichens,cover_litter,cover_litter_alone,cover_bare_soil,cover_water,notes,field_notes,observer_environ_data,observer_veg_data,office_notes,data_origin
BELA_T16_05_2002,20020712,Bering Land Bridge National Preserve,T16,66.29191667,-165.3161333,Coastal plain NE Shishmaref Inlet,36,10,314,lowland,0,Too flat to determine,Ltim,NA,"Basin, Drained",Mounds (ice and peat related),25,Upland,-14,No,Somewhat poorly drained,Moist,-9999,-9999,No,-9999,-9999,5.4,-9999,10,5.4,10,a,14,NA,14,14,Organic rich,0,-9999,0,0,200,No,No,Yes,-9999,Plug,Ghht,"Typic Hemistels-Typic Fibristels, dysic",Slcbe,LS,NA,NA,Ledum decumbens-Vaccinium vitis-idaea-fruticose/foliose lichen,Ledum decumbens-Vaccinium vitis-idaea-fruticose/foliose lichen,LPAMLS-BET-LED,betnan-leddec-empnig-Moss-vacvit-vaculi-Lichen,Y,No,No,Yes,No,4,Lowland Birch-Ericaceous Low Shrub,Lowland Moist Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Birch-Ericaceous-Willow Low Shrub,Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Organic-rich Shrub and Forests,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,5,80,1,0,0,20,3,60,0,0,0,Betnan border low-dwarf--ok dwarf,Betnan approximately 20 cm,"Jennifer S. Mitchell, Joanna E. Roth","Joanna E. Roth, Jennifer S. Mitchell","Willow/birch/ericaceous low/dwarf, soil-assume hemic peat from photograph","ABR Inc., Fairbanks, AK"
BELA_T16_06_2002,20020712,Bering Land Bridge National Preserve,T16,66.29315,-165.3229,Coastal plain NE Shishmaref Inlet,24,10,314,lowland,0,Too flat to determine,Ltic,NA,"Basin, Drained","Low-centered, low relief, low-density",15,Saturated,0,Yes,Very poorly drained,Wet,-9999,-9999,Yes,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NA,17,NA,17,17,Organic rich,0,-9999,0,0,200,No,No,No,-9999,Plug,Ghht,"Typic Hemistels-Typic Fibristels, dysic",Hgwsbt,DS,NA,NA,NA,Ledum decumbens-Vaccinium vitis-idaea-fruticose/foliose lichen,LPNWSSM-CAR-BET,Lichen-Moss-caraqu-betnan-empnig-rubcha-leddec,Y,No,No,Yes,No,2,Lowland Birch-Ericaceous Low Shrub,Lowland Moist Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Birch-Ericaceous-Willow Low Shrub,Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Organic-rich Shrub and Forests,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,10,10,0,5,35,20,20,0,0,0,NA,NA,"Jennifer S. Mitchell, Joanna E. Roth","Joanna E. Roth, Jennifer S. Mitchell",Review--lowland dwarf scrub bog?; soil-assume hemic peat because of woody vegetation,"ABR Inc., Fairbanks, AK"
BELA_T17_02_2002,20020714,Bering Land Bridge National Preserve,T17,66.19505,-164.0868333,Estuary of Nugnugaluktuk River,1,10,314,coastal,0,Too flat to determine,Mta,NA,Interfluve or Flat Bank,Non-patterned,10,Subtidal,-10,Yes,Very poorly drained,Wet,-9999,-9999,Yes,7.2,18790,7.2,-9999,18790,7.2,18790,s,62,NA,0,0,Sandy,-9999,-9999,0,0,200,Yes,No,No,-9999,Pit and plug,Goaf,"Typic Cryopsamments-Oxyaquic Cryopsamments, sandy-brackish",Bbg,BP,NA,NA,barrens-Elymus arenarius mollis,Carex ramenskii-Puccinellia phryganodes,CSSWB,soil-carsub-Moss-chrarc-elymol-potege-stehum,Y,No,No,Yes,No,4,Coastal Wet Barrens,NA,NA,NA,"Coastal Loamy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,1,0,0.1,0,0,0.1,0.1,98,1,Tidal flat,Anaerobic soil,"Sharon F. Schlentner, Joanna E. Roth","Joanna E. Roth, Sharon F. Schlentner",NA,"ABR Inc., Fairbanks, AK"
BELA_T17_03_2002,20020714,Bering Land Bridge National Preserve,T17,66.19525,-164.0865167,Estuary of Nugnugaluktuk River,1,10,314,coastal,0,Too flat to determine,Mti,NA,Interfluve or Flat Bank,Undifferentiated mounds (distinct),15,Subtidal,-8,Yes,Very poorly drained,Wet,-9999,-9999,Yes,6.3,29800,-9999,-9999,-9999,6.3,29800,s,90,NA,18,28,Sandy,0,-9999,0,0,200,No,No,No,-9999,Plug,Goaf,"Fluvaquentic Aquorthels-Fluvaquentic Historthels, brackish",Hgwhss,SM,NA,NA,Carex ramenskii-Puccinellia phryganodes-Chrysanthemum arcticum,Carex ramenskii-Puccinellia phryganodes,CPSWSM-CARRAM,carram-carsub-chrarc-potege-algae-stehum-chrarc,Y,No,No,Yes,No,4,Coastal Saline Sedge–Grass Meadow,Coastal Loamy Wet Brackish Sedge-Grass Meadow,Coastal Brackish Sedge–Grass Meadow,Brackish Sedge-Grass Wet Meadow,"Coastal Loamy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,50,0,10,0,0,20,15,15,5,Marine algae in plot,Anaerobic soil,"Sharon F. Schlentner, Joanna E. Roth","Joanna E. Roth, Sharon F. Schlentner",NA,"ABR Inc., Fairbanks, AK"
BELA_T17_04_2002,20020714,Bering Land Bridge National Preserve,T17,66.19562,-164.08443,Estuary of Nugnugaluktuk River,1,10,314,coastal,0,Too flat to determine,Mti,NA,Levee,Non-patterned,10,Irregularly flooded,-42,No,Moderately well-drained,Moist,-9999,-9999,Yes,6.4,13480,6.3,-9999,10380,6.4,13480,e,87,NA,0,4,Sandy,0,-9999,0,0,200,No,No,No,-9999,Pit and plug,Goaf,"Fluvaquentic Aquorthels-Fluvaquentic Historthels, brackish",Hgwhsgb,SM,NA,NA,Carex ramenskii-Puccinellia phryganodes-Chrysanthemum arcticum,Carex ramenskii-Puccinellia phryganodes,CSBMSGM-CAL-CAR,chrarc-caldes-carsub-elymol-pucphr-carram-stehum,Y,No,No,Yes,No,4,Coastal Saline Sedge–Grass Meadow,Coastal Loamy Wet Brackish Sedge-Grass Meadow,Coastal Brackish Sedge–Grass Meadow,Brackish Sedge-Grass Wet Meadow,"Coastal Loamy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,30,0,20,0,0,55,30,5,0,"Pucc and leymus dominate, low levee forced into hgdl","Leymus (8 percent), Puccinellia (15 percent), Subspath (10 percent); h2s hydrogen sulfide","Sharon F. Schlentner, Joanna E. Roth","Joanna E. Roth, Sharon F. Schlentner",New class,"ABR Inc., Fairbanks, AK"
BELA_T17_05_2002,20020714,Bering Land Bridge National Preserve,T17,66.19638333,-164.0850167,Estuary of Nugnugaluktuk River,1,10,314,coastal,0,Too flat to determine,Mti,NA,Interfluve or Flat Bank,Non-patterned,15,Irregularly flooded,-16,Yes,Poorly drained,Wet,-9999,-9999,Yes,6.4,30700,-9999,-9999,-9999,6.4,30700,s,82,NA,3,37,Loamy,0,-9999,0,0,200,No,No,No,-9999,Plug,Goaf,"Fluvaquentic Aquorthels-Fluvaquentic Historthels, brackish",Hgwhsgs,SM,NA,NA,Carex ramenskii-Puccinellia phryganodes-Chrysanthemum arcticum,Carex ramenskii-Puccinellia phryganodes,CPSWSGM-CAR-PUC,carram-pucphr-chrarc-potege-elymol-stehum,Y,No,No,Yes,No,4,Coastal Saline Sedge–Grass Meadow,Coastal Loamy Wet Brackish Sedge-Grass Meadow,Coastal Brackish Sedge–Grass Meadow,Brackish Sedge-Grass Wet Meadow,"Coastal Loamy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,40,0,20,0,0,65,30,2,0,"Small ponds in plot=20 percent cover, above for vegetated zone",Mineral material throughout profile; sand layer around 60 cm,"Sharon F. Schlentner, Joanna E. Roth","Joanna E. Roth, Sharon F. Schlentner",NA,"ABR Inc., Fairbanks, AK"
BELA_T17_07_2002,20020714,Bering Land Bridge National Preserve,T17,66.20026667,-164.0845667,Estuary of Nugnugaluktuk River,1,10,314,coastal,0,Too flat to determine,Mti,NA,Interfluve or Flat Bank,Undifferentiated mounds (distinct),45,Irregularly flooded,-50,Yes,Somewhat poorly drained,Moist,-9999,-9999,Yes,7,13600,-9999,-9999,-9999,7,13600,e,53,NA,16,26,Loamy,0,-9999,-9999,0,200,No,No,No,-9999,Plug,Gohf,"Fluvaquentic Aquorthels-Fluvaquentic Historthels, brackish",Hgwhsgb,SM,NA,NA,Carex ramenskii-Puccinellia phryganodes-Chrysanthemum arcticum,Carex ramenskii-Puccinellia phryganodes,CPBMSGM-CAR-PUC,carram-pucphr-chrarc-potege-elymol-stehum,Y,No,No,Yes,No,4,Coastal Saline Sedge–Grass Meadow,Coastal Loamy Wet Brackish Sedge-Grass Meadow,Coastal Brackish Sedge–Grass Meadow,Brackish Sedge-Grass Wet Meadow,"Coastal Loamy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,35,0,1,0,0,85,65,0,0,"Small ponds in plot=40 percent cover, above for vegetated zone",Bank depth 30 cm,"Sharon F. Schlentner, Joanna E. Roth","Joanna E. Roth, Sharon F. Schlentner",NA,"ABR Inc., Fairbanks, AK"
BELA_T17_08_2002,20020714,Bering Land Bridge National Preserve,T17,66.20021667,-164.0906833,Estuary of Nugnugaluktuk River,1,10,314,coastal,0,Too flat to determine,Mti,NA,Interfluve or Flat Bank,Non-patterned,45,Irregularly flooded,-40,Yes,Somewhat poorly drained,Moist,-9999,-9999,Yes,6.9,24200,-9999,-9999,-9999,6.9,24200,s,-9999,NA,31,31,Loamy,0,-9999,0,0,200,No,No,No,-9999,Plug,Ghff,"Fluvaquentic Aquorthels-Fluvaquentic Historthels, brackish",Hgwhsgs,SM,NA,NA,Carex ramenskii-Puccinellia phryganodes-Chrysanthemum arcticum,Carex ramenskii-Puccinellia phryganodes,CPSMSGM-CAR-ELY,carram-potege-elymol-chrarc-pucphr-stehum,Y,No,No,Yes,No,4,Coastal Saline Sedge–Grass Meadow,Coastal Loamy Wet Brackish Sedge-Grass Meadow,Coastal Brackish Sedge–Grass Meadow,Brackish Sedge-Grass Wet Meadow,"Coastal Loamy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,35,0,15,0,0,85,45,2,0,Plot has three levels leymol-potege above carram-p,50-50 grass-sedge,"Sharon F. Schlentner, Joanna E. Roth","Joanna E. Roth, Sharon F. Schlentner",NA,"ABR Inc., Fairbanks, AK"
BELA_T17_09_2002,20020714,Bering Land Bridge National Preserve,T17,66.20013333,-164.0928333,Estuary of Nugnugaluktuk River,1,10,314,coastal,0,Too flat to determine,Mti,NA,Interfluve or Flat Bank,Non-patterned,45,Irregularly flooded,-40,Yes,Somewhat poorly drained,Moist,-9999,-9999,Yes,6.9,22800,-9999,-9999,-9999,6.9,22800,s,45,NA,36,36,Loamy,0,-9999,0,0,200,No,No,No,-9999,NA,Ghff,"Fluvaquentic Aquorthels-Fluvaquentic Historthels, brackish",Hgwhsgs,SM,NA,NA,Carex ramenskii-Puccinellia phryganodes-Chrysanthemum arcticum,Carex ramenskii-Puccinellia phryganodes,CPSMSGM-CAR-CAL,potege-carram-caldes-chrarc-elymol-pucphr-saunud,Y,No,No,Yes,No,4,Coastal Saline Sedge–Grass Meadow,Coastal Loamy Wet Brackish Sedge-Grass Meadow,Coastal Brackish Sedge–Grass Meadow,Brackish Sedge-Grass Wet Meadow,"Coastal Loamy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,35,0,25,0,0,85,35,1,0,"Similar to 17_08_2002, mid zone not as extensive",NA,"Sharon F. Schlentner, Joanna E. Roth","Joanna E. Roth, Sharon F. Schlentner","Soil has many silt layers evident on photograph, fluvaquentic","ABR Inc., Fairbanks, AK"
BELA_T18_02_2002,20020711,Bering Land Bridge National Preserve,T18,66.59075,-163.8144667,Cape Espenberg,0,10,314,coastal,2,340,Mba,NA,Toe slope,Non-patterned,0,Irregularly flooded,-44,No,Well drained,Moist,-9999,-9999,No,-9999,-9999,7.9,-9999,4412,7.9,4412,e,110,NA,0,0,Sandy,0,-9999,0,0,200,No,No,Yes,-9999,Pit,Epco,"Typic Cryopsamments-Oxyaquic Cryopsamments, sandy-brackish",Bbg,BP,NA,NA,barrens-Elymus arenarius mollis,Elymus arenarius mollis-Lathyrus maritimus ssp. maritimus,CSBMB,soil-Moss,Y,No,No,Yes,No,4,Coastal Dry Barrens,NA,NA,NA,"Coastal Sandy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,0,0,0,0,0,0,0,100,0,NA,Beach,"Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson",NA,"ABR Inc., Fairbanks, AK"
BELA_T18_03_2002,20020712,Bering Land Bridge National Preserve,T18,66.58995,-163.8137667,Cape Espenberg,6,10,314,coastal,10,10,Esac,NA,"Upper slope, convex",Small dune,50,Upland,-90,No,Excessively drained,Dry,-9999,-9999,No,-9999,-9999,5.8,-9999,110,5.8,110,e,90,NA,0,0,Sandy,0,-9999,0,0,200,No,No,Yes,-9999,Pit,Epct,"Typic Cryopsamments-Oxyaquic Cryopsamments, sandy-brackish",Bpv,BP,NA,NA,barrens-Elymus arenarius mollis,Elymus arenarius mollis-Lathyrus maritimus ssp. maritimus,CSBDB,soil-elymol-honpep-Moss-arttil-fesrub-latmar-salov,Y,No,No,Yes,No,4,Coastal Dry Barrens,NA,NA,NA,"Coastal Sandy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0.1,0,3,0,3,0,0,10,10,90,0,Dune,Dune leymus,"Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson",Soil-assume thaw depths often greater than 100 cm,"ABR Inc., Fairbanks, AK"
BELA_T18_04_2002,20020712,Bering Land Bridge National Preserve,T18,66.59026667,-163.8144833,Cape Espenberg,3,-9999,-9999,coastal,0,Too flat to determine,Esac,NA,Basins or Depressions,Scour depression,40,Seasonally Flooded,-5,Yes,Poorly drained,Wet,-9999,-9999,Yes,6.8,220,6.3,-9999,160,6.8,220,e,108,NA,0,0,Sandy,0,-9999,0,0,200,No,No,Yes,-9999,Pit,Epca,NA,Bpv,BP,NA,NA,barrens-Elymus arenarius mollis,Elymus arenarius mollis-Lathyrus maritimus ssp. maritimus,CSBWB,soil-Moss-junarc-arttil-astsib-casti-cocoff-elymol,Y,No,No,Yes,No,4,Coastal Dry Barrens,NA,NA,NA,"Coastal Sandy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,5,0,1,20,0,15,15,70,10,Interdune,"Cutpoint, very low cover wet meadow, dune depression, early succession","Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson","Marginal barrens, drainage outlier; veg outlier-no latmar, almost no elymol","ABR Inc., Fairbanks, AK"
BELA_T18_05_2002,20020712,Bering Land Bridge National Preserve,T18,66.589,-163.8157333,Cape Espenberg,5,10,314,coastal,5,180,Esic,NA,Eolian Patterns,Small dune,100,Upland,-78,No,Somewhat excessively drained,Dry,-9999,-9999,No,-9999,-9999,6.2,-9999,80,6.2,80,c,78,NA,1,3,Sandy,0,-9999,0,0,200,No,No,Yes,-9999,Bank exposure,Gopt,"Typic Psammothels, sandy",Sdee,DS,NA,NA,Empetrum nigrum-Elymus arenarius mollis,Empetrum nigrum-Elymus arenarius mollis,USNDDS-EMPNIG,Lichen-empnig-Moss-potuni-vaculi-elymol-betnan,Y,No,No,Yes,No,4,Coastal Crowberry Dwarf Shrub,NA,NA,NA,"Coastal Sandy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,15,30,7,0,5,15,45,10,1,10,0,NA,Cowberry (VACVIT)-lichen with blowouts,"Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson","New class, upland?","ABR Inc., Fairbanks, AK"
BELA_T18_06_2002,20020712,Bering Land Bridge National Preserve,T18,66.58661667,-163.8181833,Cape Espenberg,3,10,314,coastal,0,Too flat to determine,Esic,NA,Crest,Small dune,100,Upland,-81,Yes,Somewhat excessively drained,Dry,-9999,-9999,No,-9999,-9999,7,-9999,20,7,20,c,81,NA,1,1,Sandy,0,-9999,0,0,200,No,No,Yes,-9999,Bank exposure,Gopt,"Typic Psammothels, sandy",Sdee,DS,NA,NA,Empetrum nigrum-Elymus arenarius mollis,Empetrum nigrum-Elymus arenarius mollis,USNDDS-EMPNIG,Lichen-empnig-Moss-betnan-vacvit-arcalp-leddec,Y,No,No,Yes,No,4,Coastal Crowberry Dwarf Shrub,NA,NA,NA,"Coastal Sandy Barrens, Meadow, and Shrub",-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,5,50,1,0,5,10,50,5,1,3,0,NA,Few blowouts,"Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson","New class, upland?","ABR Inc., Fairbanks, AK"
BELA_T18_07_2002,20020712,Bering Land Bridge National Preserve,T18,66.58636667,-163.8195167,Cape Espenberg,2,10,314,lowland,3,180,Ob,Esic,Toe slope,Hummocks (mineral cored),30,Saturated,-15,Yes,Somewhat poorly drained,Moist,-9999,-9999,Yes,6.6,200,-9999,-9999,-9999,6.6,200,c,20,NA,20,40,Organic rich,0,-9999,0,0,200,No,No,No,-9999,Plug,Ghht,NA,Slobe,LS,NA,NA,Betula nana-Salix planifolia ssp. pulchra-Empetrum nigrum,Betula nana-Salix planifolia ssp. pulchra-Eriophorum angustifolium,LONMSSM-CAR-SAL,Lichen-Moss-caraqu-salpul-vacvit-vaculi-betnan,N,Texture,No,Yes,No,4,Lowland Birch-Willow Low Shrub,Lowland Moist Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Birch-Ericaceous-Willow Low Shrub,Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Organic-rich Shrub and Forests,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,5,30,7,0,3,20,25,10,1,0,1,NA,"Moist-wet problem, scrub bog?","Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson",OUTLIER!!!!! (JER) review--lowland dwarf scrub bog?; pH outlier in Acidic class,"ABR Inc., Fairbanks, AK"
BELA_T18_08_2002,20020712,Bering Land Bridge National Preserve,T18,66.58523,-163.81374,Cape Espenberg,1,10,314,lowland,0,Too flat to determine,Of,Esdi,Flat or Fluvial Related,Non-patterned,30,Semipermanently Flooded,12,Yes,Very poorly drained,Wet,-9999,-9999,Yes,6.5,130,5.9,-9999,280,6.5,130,c,40,NA,60,40,Organic rich,0,-9999,0,0,200,No,No,Yes,-9999,Plug,Ghft,"Typic Fibristels, dysic",Hgwst,BM,NA,NA,Carex chordorrhiza-Carex aquatilis,Carex chordorrhiza-Carex aquatilis,LONWSP-CARAQU,caraqu-eriang-carcho-erirus-Moss-carmem-salfus,Y,No,No,Yes,No,4,Lowland Sedge Fen,Lowland Circumacidic Sedge Fen,Lowland Sedge Fen,Sedge Fen,Lowland Bogs and Fens,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,0,0,15,0,0.1,0,0,98,10,0,90,NA,Higher moss mound microsites,"Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson",Review--lowland dwarf scrub bog?;  Soil-assume fibric peat,"ABR Inc., Fairbanks, AK"
BELA_T19_01_2002,20020711,Bering Land Bridge National Preserve,T19,66.46946667,-163.8423333,Goodhope Bay just S of Cape Espenberg,5,10,314,lowland,0,Too flat to determine,Ltnc,NA,"Basin, Drained",Non-patterned,20,Saturated,-7,Yes,Very poorly drained,Wet,-9999,-9999,Yes,5.9,90,-9999,-9999,-9999,5.9,90,c,32,NA,27,27,Loamy,0,-9999,0,0,200,No,No,No,-9999,Plug,Goht,"Typic Aquorthels-Typic Historthels, loamy",Slobw,LS,NA,NA,Betula nana-Salix planifolia ssp. pulchra-Empetrum nigrum,Betula nana-Salix planifolia ssp. pulchra-Eriophorum angustifolium,LPNWLS-SAL-BET,salpul-betnan-eriang-Moss-caraqu-casele-empnig,Y,No,No,Yes,No,4,Lowland Birch-Willow Low Shrub,Lowland Moist Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Birch-Ericaceous-Willow Low Shrub,Dwarf Birch-Ericaceous-Willow Low Shrub,Lowland Organic-rich Shrub and Forests,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,30,1,15,0,2,10,0.1,95,10,0,2,NA,NA,"Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson",Willow/birch/ericaceous  low/dwarf,"ABR Inc., Fairbanks, AK"
BELA_T19_02_2002,20020711,Bering Land Bridge National Preserve,T19,66.47036667,-163.8448167,Goodhope Bay just S of Cape Espenberg,12,10,314,lowland,0,Too flat to determine,Ltnm,NA,"Basin, Drained",Non-patterned,20,Saturated,-7,Yes,Very poorly drained,Wet,-9999,-9999,Yes,5.5,80,-9999,-9999,-9999,5.5,80,a,32,NA,20,31,Loamy,0,-9999,0,0,200,No,No,No,-9999,Plug,Goht,"Typic Hemistels-Typic Fibristels, dysic",Sloeb,LS,NA,NA,Sphagnum sp.-Andromeda polifolia-Betula nana,Andromeda polifolia-Sphagnum sp.,LOAWLSP-VAC-BET,Moss-caraqu-vaculi-empnig-betnan-vacvit-andpol,Y,No,No,Yes,No,4,Lowland Ericaceous Shrub Bog,Lowland Acidic Ericaceous Shrub Bog,Lowland Ericaceous Shrub Bog,Ericaceous Shrub Bog,Lowland Bogs and Fens,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,35,5,20,1,0.1,60,1,3,1,0,3,NA,Hgwsmb?--wrong sedges,"Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson",Willow/birch/ericaceous  low/dwarf,"ABR Inc., Fairbanks, AK"
BELA_T19_03_2002,20020711,Bering Land Bridge National Preserve,T19,66.4723,-163.8509333,Goodhope Bay just S of Cape Espenberg,6,10,314,upland,0,Too flat to determine,Ob,Ltim,Flat or Fluvial Related,"High-centered polygons, high-relief",60,Saturated,-15,Yes,Somewhat poorly drained,Moist,-9999,-9999,Yes,3.8,110,-9999,-9999,-9999,3.8,110,a,28,NA,40,40,Organic rich,0,-9999,0,0,200,No,No,No,-9999,Plug,Ghht,NA,Slobe,LS,NA,NA,Eriophorum vaginatum-Betula nana-Rubus chamaemorus,Betula nana-Eriophorum vaginatum,LOAMLS-BET-LED,Lichen-Moss-betnan-leddec-vacvit-erivag-rubcha,Y,No,No,Yes,No,4,Upland Dwarf Birch-Tussock Shrub,Upland Organic-rich Moist Acidic Dwarf Birch-Tussock Shrub,Upland Dwarf Birch-Tussock Shrub,Dwarf Birch-Tussock Shrub,Upland Loamy Wet Tussock Shrublands,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,10,10,5,5,3,20,55,25,3,1,0.1,NA,"Lichen rich, was lcp, wedges thawed, used to have tussock rims, gone acidic","Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson",Willow/birch/ericaceous  low/dwarf problem; lowland outlier in upland class;  Soil-assume peat is hemic,"ABR Inc., Fairbanks, AK"
BELA_T19_04_2002,20020711,Bering Land Bridge National Preserve,T19,66.47156667,-163.8598,Goodhope Bay just S of Cape Espenberg,9,10,314,lacustrine,0,Too flat to determine,Ltnc,NA,"Basin, Drained",Non-patterned,20,Saturated,-3,Yes,Very poorly drained,Wet,-9999,-9999,Yes,5.7,90,-9999,-9999,-9999,5.7,90,c,28,NA,9,9,Loamy,0,-9999,0,0,200,No,No,No,-9999,Plug,Goat,"Typic Aquorthels, loamy",Hgmbh,GM,NA,NA,Calamagrostis canadensis-Poa arctica,Calamagrostis canadensis-Potentilla palustris,PLNWGM-CAL-PET,Moss-calcan-petfri-valcap-poaarc-arnalp-caraqu,Y,No,No,Yes,No,4,Lacustrine Bluejoint Meadow,NA,NA,NA,Lacustrine Loamy Barrens Meadows and Shrublands,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,3,0,25,0,7,50,1,75,20,0,0.1,NA,Recently drained lake,"Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson",New class--mapable?; plot too small,"ABR Inc., Fairbanks, AK"
BELA_T19_05_2002,20020711,Bering Land Bridge National Preserve,T19,66.47095,-163.8692,Goodhope Bay just S of Cape Espenberg,10,5,79,lowland,0,Too flat to determine,Of,Lti,"Basin, Drained","Low-centered, low relief, low-density",30,Semipermanently Flooded,8,Yes,Very poorly drained,Wet,-9999,-9999,Yes,5.5,100,-9999,-9999,-9999,5.5,100,c,28,NA,28,28,Organic rich,0,-9999,0,0,200,No,No,No,-9999,Plug,Ghft,"Typic Fibristels, dysic",Hgwst,BM,NA,NA,Eriophorum angustifolium-Carex aquatilis-Salix planifolia ssp. pulchra,Carex aquatilis-Salix planifolia ssp. pulchra,LONWSP-ERIANG,water-eriang-Moss-caraqu-erirus-andpol-betnan-carm,Y,No,No,Yes,No,4,Lowland Sedge-Willow Fen,Lowland Circumacidic Sedge Fen,Lowland Sedge Fen,Sedge Fen,Lowland Bogs and Fens,-9999,NA,-9999,NA,-9999,NA,-9999,NA,-9999,0,1,1,30,0,1,25,0.1,25,2,0,60,NA,NA,"Mark Torre Jorgenson, Sharon F. Schlentner","Sharon F. Schlentner, Mark Torre Jorgenson",Site chemistry forced into CN even though at 5.5 to be consistent with other CN sites,"ABR Inc., Fairbanks, AK"
