"number","crn","name","days","time","room","instructor","avail_max"
"COMP 487-01","10519","Computer Security and Privacy","M W F","9:40 - 10:40 am","OLRI 254","Abby Marsh","3 / 20"
"ECON 113-01","10235","Financial Accounting"," T R ","8:00 - 9:30 am","CARN 305","Bridgit Jordan","-1 / 25"
"ECON 113-02","10236","Financial Accounting"," T R ","9:40 - 11:10 am","CARN 305","Bridgit Jordan","1 / 25"
"ECON 119-01","10239","Principles of Economics","M W F","2:20 - 3:20 pm","CARN 305","Elizabeth Engle","3 / 25"
"ECON 119-02","10240","Principles of Economics","M W F","9:40 - 10:40 am","CARN 305","Felix Friedt","1 / 25"
"ECON 119-03","10241","Principles of Economics","M W F","10:50 - 11:50 am","CARN 305","Felix Friedt","2 / 25"
"ECON 119-04","10880","Principles of Economics"," T R ","9:40 - 11:10 am","OLRI 150","Seoyeon Jo","2 / 25"
"ECON 119-05","10882","Principles of Economics","M W F","1:10 - 2:10 pm","THEATR 206","Thomas Durfee","5 / 25"
"ECON 119-F1","10237","Principles of Economics"," T R ","1:20 - 2:50 pm","THEATR 002","Gabriel Lade","0 / 18"
"ECON 119-F2","10238","Principles of Economics","M W F","10:50 - 11:50 am","CARN 304","Elizabeth Engle","0 / 16"
"ECON 194-01","10242","Statistics for Economics","M W F","10:50 - 11:50 am","CARN 06A","Liang Ding","4 / 25"
"ECON 235-01","10305","Climate Change: Science, Economics, and Policy"," T R ","9:40 - 11:10 am","THEATR 204","Louisa BradtmillerSarah West","3 / 25"
"ECON 238-01","10243","Introduction to Entrepreneurship","M    ","7:00 - 10:00 pm","LIBR 250","Ali Alizadeh","5 / 25"
"ECON 258-01","10244","Introduction to Securities Analysis"," T R ","1:20 - 2:50 pm","OLRI 150","Joyce Minor","4 / 25"
"ECON 294-01","10245","Working in America","M W F","9:40 - 10:40 am","CARN 304","Elizabeth Engle","4 / 25"
"ECON 294-03","10884","Public Economics","M W F","10:50 - 11:50 am","MAIN 003","Thomas Durfee","16 / 25"
"ECON 294-04","10885","Gender Economics"," T R ","1:20 - 2:50 pm","OLRI 270","Seoyeon Jo","21 / 25"
"ECON 361-01","10246","Intermediate Microeconomic Analysis"," T R ","9:40 - 11:10 am","THEATR 206","Gabriel Lade","0 / 25"
"ECON 361-02","10247","Intermediate Microeconomic Analysis"," T R ","1:20 - 2:50 pm","CARN 305","Sarah West","1 / 25"
"ECON 371-01","10248","Intermediate Macroeconomic Analysis","M W F","9:40 - 10:40 am","THEATR 203","Mario Solis-Garcia","0 / 25"
"ECON 371-02","10249","Intermediate Macroeconomic Analysis","M W F","10:50 - 11:50 am","THEATR 203","Mario Solis-Garcia","10 / 25"
"ECON 381-01","10250","Introduction to Econometrics"," T R ","9:40 - 11:10 am","CARN 304","Gary Krueger","1 / 22"
"ECON 381-02","10252","Introduction to Econometrics"," T R ","1:20 - 2:50 pm","CARN 304","Gary Krueger","0 / 22"
"ECON 381-L1","10251","Intro to Econometrics Lab","  W  ","10:50 - 11:50 am","THEATR 002","Gary Krueger","3 / 22"
"ECON 381-L2","10253","Intro to Econometrics Lab","  W  ","12:00 - 1:00 pm","THEATR 002","Gary Krueger","-1 / 23"
"ECON 421-01","10254","International Trade and Multinational Corporations","M W F","1:10 - 2:10 pm","CARN 305","Felix Friedt","16 / 20"
"ECON 422-01","10255","International Trade and Multinational Corporations Capstone","M W F","1:10 - 2:10 pm","CARN 305","Felix Friedt","16 / 20"
"ECON 425-01","10256","International Economic Development"," T R ","1:20 - 2:50 pm","THEATR 213","Amy Damon","4 / 20"
"ECON 426-01","10257","International Economic Development Capstone"," T R ","1:20 - 2:50 pm","THEATR 213","Amy Damon","4 / 20"
"ECON 444-01","10258","Honors Seminar"," T R ","3:00 - 4:30 pm","THEATR 213","Amy Damon","2 / 15"
"ECON 457-01","10259","Finance","M W F","1:10 - 2:10 pm","CARN 107","Liang Ding","0 / 20"
"ECON 477-01","10260","Economic Growth","M W F","8:30 - 9:30 am","THEATR 203","Mario Solis-Garcia","0 / 20"
"ECON 478-01","10261","Economic Growth Capstone","M W F","8:30 - 9:30 am","THEATR 203","Mario Solis-Garcia","0 / 20"
"EDUC 194-01","10877","Schooling and Society","M W F","2:20 - 3:20 pm","CARN 06A","Aspen Chen","-2 / 25"
"EDUC 194-F1","10262","Worldmaking: Thought, Place, and Action in Education"," T R ","3:00 - 4:30 pm","HUM 400","Brian LozenskiCait Bergeon","1 / 17"
"EDUC 220-01","10869","Educational Psychology","M W F","9:40 - 10:40 am","HUM 226","Cristina Silva Gleason","1 / 24"
"EDUC 250-01","10263","Building Trust: Education in Global Perspective"," T R ","1:20 - 2:50 pm","MUSIC 219","Sonia Mehta","1 / 24"
"EDUC 275-01","10134","Outdoor Environmental Education in Theory, Policy and Practice","M W  ","1:10 - 2:10 pm","OLRI 243","Jerald Dosch","2 / 15"
"EDUC 275-L1","10137","Outdoor Envi/Educ Lab","    F","1:10 - 4:30 pm","OLRI 243","Jerald Dosch","2 / 15"
"EDUC 380-01","10264","Research Methods for Educ/Adv"," T R ","9:40 - 11:10 am","MUSIC 219","Gonzalo Guzmán","-3 / 18"
"EDUC 390-01","10265","Teaching and Learning in Urban Schools","M    ","7:00 - 10:00 pm","THEATR 202","Brian Lozenski","4 / 16"
"EDUC 460-01","10266","Education and Social Change"," T R ","8:00 - 9:30 am","MUSIC 219","Gonzalo Guzmán","5 / 12"
"ENGL 105-01","10267","LGBTQ2S+ Literature in America: Identities and Differences in U.S. Literature"," T R ","9:40 - 11:10 am","THEATR 202","Rachel Gold","4 / 20"
"ENGL 112-01","10268","Introduction to African American Literature","M W F","9:40 - 10:40 am","MAIN 010","Daylanne English","4 / 20"
"ENGL 125-F1","10270","Craft, Activism, and Subversive Stitchers","M W F","2:20 - 3:20 pm","MAIN 111","Amy Elkins","0 / 17"
"ENGL 137-01","10272","Introduction to the Novel"," T R ","1:20 - 2:50 pm","MAIN 009","James Dawes","1 / 20"
"ENGL 137-02","10273","Dark Academia"," T R ","9:40 - 11:10 am","CARN 05","Amy Elkins","0 / 10"
"ENGL 137-03","10274","Dark Academia"," T R ","3:00 - 4:30 pm","CARN 05","Amy Elkins","0 / 10"
"ENGL 150-01","10276","Introduction to Creative Writing","M W F","12:00 - 1:00 pm","MAIN 111","Peter Bognanni","1 / 16"
"ENGL 150-02","10277","Introduction to Creative Writing","M W F","1:10 - 2:10 pm","MAIN 002","Matt Burgess","0 / 16"
"ENGL 150-03","10278","Introduction to Creative Writing"," T R ","9:40 - 11:10 am","HUM 228","Sarah Ghazal Ali","0 / 16"
"ENGL 150-04","11003","Introduction to Creative Writing","M W F","1:10 - 2:10 pm","THEATR 203","Aurora Masum-Javed","-2 / 16"
"ENGL 150-05","11004","Introduction to Creative Writing","M W F","2:20 - 3:20 pm","THEATR 203","Aurora Masum-Javed","-1 / 16"
"ENGL 150-F1","10275","Introduction to Creative Writing","M W F","9:40 - 10:40 am","MAIN 111","Peter Bognanni","0 / 17"
"ENGL 194-01","10398","Words are Hard: Literary Modernism and Limits of Language"," T R ","9:40 - 11:10 am","HUM 212","Ross Shields","7 / 20"
"ENGL 208-01","10279","Literary Publishing"," T R ","3:00 - 4:30 pm","MAIN 002","Steven Woodward","3 / 16"
"ENGL 260-01","10280","Science Fiction: From Matrix Baby Cannibals to Brave New Worlds"," T R ","9:40 - 11:10 am","MAIN 009","James Dawes","1 / 20"
"ENGL 262-01","10281","Literature and the Natural World: Victorian Nature Writing"," T R ","9:40 - 11:10 am","THEATR 203","Andrea Kaston Tange","-1 / 20"
"ENGL 275-01","10283","African American Literature to 1900","M W F","2:20 - 3:20 pm","CARN 304","Daylanne English","-1 / 20"
"ENGL 280-01","10285","Crafts of Writing: Poetry; Form and (In)Fidelity"," T R ","1:20 - 2:50 pm","HUM 217","Sarah Ghazal Ali","10 / 16"
"ENGL 285-01","10819","Playwriting","M W F","10:50 - 11:50 am","THEATR 101","Timothy Lord","0 / 12"
"ENGL 285-02","10821","Playwriting"," T R ","3:00 - 4:30 pm","THEATR 201","Jarek Pastor","4 / 12"
"ENGL 286-01","10286","Narrative Journalism","  W  ","7:00 - 10:00 pm","MAIN 009","Annie BaxterCurtis Gilbert","0 / 16"
"ENGL 294-01","10287","Crafts of Writing: Young Adult Literature","M W F","1:10 - 2:10 pm","MAIN 111","Peter Bognanni","1 / 16"
"ENGL 294-02","10288","Movie Medievalisms","M W F","1:10 - 2:10 pm","ARTCOM 202","Coral Lumbley","5 / 20"
"ENGL 294-03","10289","Crafts of Writing: Imitation and Influence"," T R ","1:20 - 2:50 pm","ARTCOM 202","Emma Törzs","0 / 16"
"ENGL 294-04","10290","Curse/Cure: Literature, Medicine, and Magic in the Renaissance"," T R ","1:20 - 2:50 pm","HUM 212","Penelope Geng","1 / 20"
"ENGL 294-05","10573","Music and Words: An Arts Writing Workshop"," T R ","1:20 - 2:50 pm","MUSIC 228","Mark Mazullo","3 / 16"
"ENGL 310-01","10291","Studies in Shakespeare: Shakespeare and Justice","  W  ","1:10 - 4:30 pm","THEATR 101","Penelope Geng","10 / 20"
"ENGL 367-01","10455","Postcolonial Theory"," T R ","1:20 - 2:50 pm","CARN 404","David Moore","-2 / 22"
"ENGL 380-01","10292","Topics in African American Literature: LOVE","M W F","12:00 - 1:00 pm","MAIN 001","Daylanne English","9 / 20"
"ENGL 401-01","10294","Projects in Literary Research: Medieval Trans/Formations","M W F","10:50 - 11:50 am","MAIN 011","Coral Lumbley","9 / 12"
"ENGL 406-01","10295","Projects in Creative Writing: The Craft of the Novella"," T R ","3:00 - 4:30 pm","ARTCOM 202","Emma Törzs","3 / 12"
"ENVI 160-01","10375","Dynamic Earth/Global Change","M W F","9:40 - 10:40 am","OLRI 250","Kelly MacGregor","15 / 48"
"ENVI 160-F1","10381","Dynamic Earth/Global Change","M W F","9:40 - 10:40 am","OLRI 175","Emily First","1 / 16"
"ENVI 160-L1","10377","Dynamic Earth/Global Chg Lab","   R ","8:00 - 11:10 am","OLRI 187","Jeff Thole","1 / 16"
"ENVI 160-L2","10379","Dynamic Earth/Global Chg Lab"," T   ","8:00 - 11:10 am","OLRI 187","Jeff Thole","2 / 24"
"ENVI 160-L3","10383","Dynamic Earth/Global Chg Lab"," T   ","1:20 - 4:20 pm","OLRI 187","Jeff Thole","13 / 24"
"ENVI 170-01","10116","Ecology and the Environment","M W F","9:40 - 10:40 am","THEATR 001","Michael Anderson","-1 / 32"
"ENVI 170-02","10296","Ecology and the Environment","M W F","1:10 - 2:10 pm","THEATR 200","Anika Bratt","-1 / 32"
"ENVI 170-L1","10118","Ecology/Environment Lab","   R ","8:00 - 11:10 am","OLRI 284","Michael Anderson","-2 / 22"
"ENVI 170-L2","10120","Ecology/Environment Lab","   R ","1:20 - 4:30 pm","OLRI 284","Michael Anderson","1 / 22"
"ENVI 170-L3","10122","Ecology/Environment Lab"," T   ","8:00 - 11:10 am","OLRI 284","Jerald Dosch","1 / 22"
"ENVI 194-01","10558","Environmental Issues and the Media","M W F","10:50 - 11:50 am","OLRI 243","Michael Griffin","7 / 22"
"ENVI 194-F2","10967","Principles of Sustainable Design","M W F","12:00 - 1:00 pm","OLRI 150","James Doyle","0 / 18"
"ENVI 202-01","10299","Sustainability and the Campus","   R ","3:00 - 4:30 pm","OLRI 243","Megan Butler","18 / 24"
"ENVI 203-01","10352","Introduction to Urban Ecology"," T R ","1:20 - 2:50 pm","CARN 107","I-Chun Catherine Chang","4 / 20"
"ENVI 215-01","10300","Environmental Politics/Policy"," T R ","3:00 - 4:30 pm","THEATR 204","Roopali Phadke","8 / 24"
"ENVI 232-01","10357","Food, Agriculture and the Environment"," T R ","3:00 - 4:30 pm","CARN 06A","William Moseley","7 / 30"
"ENVI 234-01","10302","U.S. Environmental History","M W F","2:20 - 3:20 pm","THEATR 205","Christopher Wells","-1 / 24"
"ENVI 235-01","10304","Climate Change: Science, Economics, and Policy"," T R ","9:40 - 11:10 am","THEATR 204","Louisa BradtmillerSarah West","3 / 25"
"ENVI 237-01","10070","Environmental Justice"," T R ","9:40 - 11:10 am","THEATR 002","Kirisitina Sailiata","-4 / 20"
"ENVI 240-01","10306","The Earth’s Climate System","M W F","9:40 - 10:40 am","OLRI 243","Louisa Bradtmiller","0 / 24"
"ENVI 240-L1","10307","Earth’s Climate Sys Lab"," T   ","1:20 - 4:30 pm","OLRI 253","Louisa Bradtmiller","0 / 24"
"ENVI 258-F1","10364","Geography of Environmental Hazards","M W F","10:50 - 11:50 am","CARN 05","Eric Carter","0 / 17"
"ENVI 262-01","10282","Literature and the Natural World: Victorian Nature Writing"," T R ","9:40 - 11:10 am","THEATR 203","Andrea Kaston Tange","-1 / 20"
"ENVI 270-01","10308","Psychology of Sustainable Behavior"," T R ","1:20 - 2:50 pm","OLRI 243","Christie Manning","0 / 20"
"ENVI 273-F1","10310","Psychology and/of Climate Change"," T R ","9:40 - 11:10 am","OLRI 243","Christie Manning","1 / 17"
"ENVI 275-01","10135","Outdoor Environmental Education in Theory, Policy and Practice","M W  ","1:10 - 2:10 pm","OLRI 243","Jerald Dosch","2 / 15"
"ENVI 275-L1","10138","Outdoor Envi/Educ Lab","    F","1:10 - 4:30 pm","OLRI 243","Jerald Dosch","2 / 15"
"ENVI 280-01","10312","Environmental Classics","  W  ","7:00 - 10:00 pm","OLRI 243","Christopher Wells","4 / 20"
"ENVI 294-01","10861","Environment and Empire","M W F","10:50 - 11:50 am","ARTCOM 202","Maria Fedorova","2 / 25"
"ENVI 294-02","10862","Geographies of Resilience: Climate, Livelihoods and Adaptation","M W F","12:00 - 1:00 pm","CARN 06A","Holly Barcus","4 / 25"
"ENVI 294-03","10908","Sustainable Urban Design","M W F","2:20 - 3:20 pm","THEATR 002","Tony Siebenaler-Ransom","3 / 20"
"ENVI 359-01","10313","Big Data in Ecology","M W F","2:20 - 3:20 pm","OLRI 253","Martha Torstenson","6 / 12"
"ENVI 359-L1","10315","Big Data in Ecology Lab","M W F","3:30 - 4:30 pm","OLRI 253","Martha Torstenson","6 / 12"
"ENVI 380-01","10152","Animal Behavior: Fundamentals and Applications","M W F","10:50 - 11:50 am","OLRI 284","Stotra Chakrabarti","0 / 13"
"ENVI 380-L1","10154","Animal Behavior Lab"," T   ","1:20 - 4:30 pm","OLRI 284","Stotra Chakrabarti","0 / 13"
"ENVI 485-01","10159","Wildlife Conservation in the Anthropocene: An International Perspective","M W F","12:00 - 1:00 pm","OLRI 284","Stotra Chakrabarti","1 / 14"
"ENVI 489-01","10317","Environmental Leadership Pract","M    ","7:00 - 10:00 pm","OLRI 243","Roopali Phadke","6 / 20"
"ENVI 490-01","10318","Envi St Leadership Seminar","M    ","7:00 - 10:00 pm","OLRI 243","Roopali Phadke","6 / 20"
"FREN 101-01","10319","French I","M W F","9:40 - 10:40 am","HUM 400","Claude Cassagne","1 / 15"
"FREN 101-02","10320","French I","M W F","10:50 - 11:50 am","HUM 400","Claude Cassagne","6 / 15"
"FREN 101-L1","10321","French I Lab"," T   ","8:00 - 9:00 am","HUM 409","Aida Lewis","2 / 11"
"FREN 101-L2","10322","French I Lab"," T   ","2:30 - 3:30 pm","HUM 409","Aida Lewis","10 / 10"
"FREN 101-L3","10323","French I Lab","   R ","9:10 - 10:10 am","HUM 409","Aida Lewis","3 / 10"
"FREN 101-L4","10324","French I Lab","   R ","1:20 - 2:20 pm","HUM 409","Aida Lewis","3 / 10"
"FREN 111-01","10328","Accelerated French I-II","M W F","12:00 - 1:00 pm","HUM 400","Juliette Rogers","4 / 15"
"FREN 111-L1","10329","Accelerated French I-II Lab"," T R ","9:10 - 10:10 am","HUM 404","Erica Petersen","5 / 10"
"FREN 111-L2","10330","Accelerated French I-II Lab"," T R ","2:30 - 3:30 pm","HUM 404","Erica Petersen","4 / 10"
"FREN 194-F1","10331","Food in French and Francophone Cultures: the Local and the Global"," T R ","1:20 - 2:50 pm","HUM 402","Joëlle Vitiello","0 / 14"
"FREN 203-01","10332","French III","M W F","10:50 - 11:50 am","HUM 401","Andrew Billing","2 / 15"
"FREN 203-02","10333","French III","M W F","2:20 - 3:20 pm","HUM 401","Andrew Billing","5 / 15"
"FREN 203-L1","10334","French III Lab"," T   ","9:10 - 10:10 am","HUM 409","Aida Lewis","3 / 10"
"FREN 203-L2","10335","French III Lab"," T   ","1:20 - 2:20 pm","HUM 409","Aida Lewis","2 / 10"
"FREN 203-L3","10336","French III Lab","   R ","10:20 - 11:20 am","HUM 409","Aida Lewis","2 / 10"
"FREN 204-01","10338","Text, Film and Media","M W F","9:40 - 10:40 am","HUM 404","El Hadji Diop","8 / 15"
"FREN 204-02","10339","Text, Film and Media","M W F","10:50 - 11:50 am","HUM 404","El Hadji Diop","7 / 15"
"FREN 204-L1","10340","Text, Film and Media Lab"," T   ","10:20 - 11:20 am","HUM 404","Erica Petersen","5 / 10"
"FREN 204-L2","10341","Text, Film and Media Lab"," T   ","1:20 - 2:20 pm","HUM 404","Erica Petersen","4 / 10"
"FREN 204-L3","10342","Text, Film and Media Lab","   R ","10:20 - 11:20 am","HUM 404","Erica Petersen","9 / 10"
"FREN 204-L4","10343","Text, Film and Media Lab","   R ","3:30 - 4:30 pm","HUM 404","Erica Petersen","7 / 10"
"FREN 305-01","10344","Advanced Expression: Communication Tools","M W F","2:20 - 3:20 pm","HUM 409","El Hadji Diop","6 / 15"
"FREN 305-L1","10345","Advanced Expression Lab"," T   ","8:00 - 9:00 am","HUM 404","Erica Petersen","4 / 10"
"FREN 305-L2","10346","Advanced Expression Lab","   R ","1:20 - 2:20 pm","HUM 404","Erica Petersen","7 / 10"
"FREN 306-01","10347","Introduction to Literary Analysis","M W F","1:10 - 2:10 pm","HUM 400","Juliette Rogers","-1 / 18"
"FREN 344-01","10348","Francophone Islands: An Oceanic Perspective"," T R ","9:40 - 11:10 am","HUM 402","Joëlle Vitiello","6 / 15"
"FREN 378-01","10349","Inventing the Future: Technology, Utopia and Dystopia in French Literary and Visual Culture","M W F","12:00 - 1:00 pm","HUM 401","Andrew Billing","1 / 17"
"GEOG 113-01","10350","Geography, Environment, and Society: Global Processes and World Regions","M W F","8:30 - 9:30 am","CARN 06A","William Moseley","7 / 30"
"GEOG 203-01","10351","Introduction to Urban Ecology"," T R ","1:20 - 2:50 pm","CARN 107","I-Chun Catherine Chang","4 / 20"
"GEOG 225-01","10353","Introduction to Geographic Information Systems","M W F","9:40 - 10:40 am","CARN 107","Kelsey McDonald","0 / 30"
"GEOG 225-L1","10354","Intro Geog Info Sys Lab","  W  ","12:00 - 1:30 pm","CARN 108","Ashley Nepp","10 / 23"
"GEOG 225-L2","10355","Intro Geog Info Sys Lab","   R ","9:40 - 11:10 am","CARN 108","Ashley Nepp","6 / 23"
"GEOG 232-01","10356","Food, Agriculture and the Environment"," T R ","3:00 - 4:30 pm","CARN 06A","William Moseley","7 / 30"
"GEOG 241-01","10358","Urban Geography","M W F","3:30 - 4:30 pm","CARN 06A","Daniel Trudeau","4 / 30"
"GEOG 242-01","10359","Regional Geography of the US and Canada","M W F","10:50 - 11:50 am","CARN 107","Laura Smith","8 / 25"
"GEOG 244-01","10360","The Political Economy of Asia"," T R ","9:40 - 11:10 am","CARN 107","I-Chun Catherine Chang","14 / 20"
"GEOG 256-01","10362","Health Geography","M W F","1:10 - 2:10 pm","HUM 216","Eric Carter","8 / 25"
"GEOG 258-F1","10363","Geography of Environmental Hazards","M W F","10:50 - 11:50 am","CARN 05","Eric Carter","0 / 17"
"GEOG 261-F1","10365","World Urbanization","M W F","10:50 - 11:50 am","CARN 105","I-Chun Catherine Chang","0 / 17"
"GEOG 277-01","10366","Qualitative Research Methods in Geography"," T R ","3:00 - 4:30 pm","CARN 105","Daniel Trudeau","3 / 12"
"GEOG 294-01","10367","Geographies of Resilience: Climate, Livelihoods and Adaptation","M W F","12:00 - 1:00 pm","CARN 06A","Holly Barcus","4 / 25"
"GEOG 294-02","10368","Monuments and Memory","M    ","7:00 - 10:00 pm","CARN 06A","Jordan Brasher","20 / 25"
"GEOG 294-03","10369","Introduction to Critical Digital Geographies"," T R ","9:40 - 11:10 am","CARN 06A","Liz Calhoun","10 / 20"
"GEOG 365-01","10370","Urban GIS"," T R ","1:20 - 2:50 pm","CARN 109","Laura Smith","-1 / 12"
"GEOG 394-01","10371","Advanced Geospatial Analysis: Problems and Applications","M W F","2:20 - 3:20 pm","CARN 105","Robert Hendrickson","1 / 16"
"GEOG 476-01","10372","Transportation Geography Sem","  W  ","7:00 - 10:00 pm","CARN 105","Laura Smith","3 / 15"
"GEOL 160-01","10374","Dynamic Earth/Global Change","M W F","9:40 - 10:40 am","OLRI 250","Kelly MacGregor","15 / 48"
"GEOL 160-F1","10380","Dynamic Earth/Global Change","M W F","9:40 - 10:40 am","OLRI 175","Emily First","1 / 16"
"GEOL 160-L1","10376","Dynamic Earth/Global Chg Lab","   R ","8:00 - 11:10 am","OLRI 187","Jeff Thole","1 / 16"
"GEOL 160-L2","10378","Dynamic Earth/Global Chg Lab"," T   ","8:00 - 11:10 am","OLRI 187","Jeff Thole","2 / 24"
"GEOL 160-L3","10382","Dynamic Earth/Global Chg Lab"," T   ","1:20 - 4:20 pm","OLRI 187","Jeff Thole","13 / 24"
"GEOL 250-01","10384","Mineralogy","M W F","1:10 - 2:10 pm","OLRI 179","Emily First","3 / 18"
"GEOL 250-L1","10385","Mineralogy Lab"," T   ","1:20 - 4:30 pm","OLRI 179","Emily First","3 / 18"
"GEOL 260-01","10386","Geomorphology","M W F","10:50 - 11:50 am","OLRI 175","Kelly MacGregor","8 / 18"
"GEOL 260-L1","10387","Geomorphology Lab"," T   ","8:00 - 11:10 am","OLRI 175","Kelly MacGregor","8 / 18"
"GEOL 304-01","10388","Tectonics","M W F","3:30 - 4:30 pm","OLRI 179","Alan Chapman","10 / 18"
"GEOL 304-L1","10389","Tectonics Lab","   R ","1:20 - 4:30 pm","OLRI 179","Alan Chapman","10 / 18"
"GEOL 394-01","10390","Analytical Methods","M W F","1:10 - 3:20 pm","OLRI 175","Ben Welsch","7 / 12"
"GEOL 394-02","10156","Origins and Extinctions: Rocks & Life in Deep Time","M W  ","10:50 - 1:00 pm","OLRI 100","Kristina Curry RogersRaymond Rogers","0 / 16"
"GERM 101-01","10391","Elementary German I","M W F","3:30 - 4:30 pm","HUM 214","Amanda Wolfson","4 / 20"
"GERM 101-L1","10392","Elementary German I Lab","   R ","2:20 - 3:20 pm","HUM 113","Francesca Caligiuri Shields","7 / 12"
"GERM 101-L2","10393","Elementary German I Lab","  W  ","7:00 - 8:00 pm","HUM 212","Francesca Caligiuri Shields","6 / 12"
"GERM 101-L3","11101","Elementary German I Lab","    F","1:10 - 2:10 pm","HUM 212","Francesca Caligiuri Shields","7 / 12"
"GERM 110-01","10394","Accelerated Elementary German","M W F","9:40 - 10:40 am","HUM 409","Ross Shields","5 / 15"
"GERM 110-L1","10395","Accel Elementary German Lab"," T R ","3:30 - 4:30 pm","HUM 112","Francesca Caligiuri Shields","7 / 12"
"GERM 110-L2","10396","Accel Elementary German Lab","M W  ","1:10 - 2:10 pm","HUM 212","Francesca Caligiuri Shields","7 / 12"
"GERM 194-01","10397","Words are Hard: Literary Modernism and Limits of Language"," T R ","9:40 - 11:10 am","HUM 212","Ross Shields","7 / 20"
"GERM 194-F1","10399","Forever Young: The Vampire Comes of Age","M W F","2:20 - 3:20 pm","ARTCOM 202","Brigetta AbelLaurie Adamson","0 / 18"
"GERM 203-01","10401","Intermediate German I","M W F","9:40 - 10:40 am","HUM 213","Amanda Wolfson","13 / 20"
"GERM 203-L2","10403","Intermediate German I Lab","  W  ","3:30 - 4:30 pm","HUM 212","Francesca Caligiuri Shields","5 / 12"
"GERM 204-01","10404","Intermediate German II","M W F","10:50 - 11:50 am","HUM 213","Amanda Wolfson","9 / 20"
"GERM 204-L1","10405","Intermediate German II Lab"," T   ","9:40 - 10:40 am","HUM 112","Francesca Caligiuri Shields","8 / 12"
"GERM 204-L2","10406","Intermediate German II Lab","M    ","3:30 - 4:30 pm","HUM 212","Francesca Caligiuri Shields","4 / 12"
"GERM 277-01","10407","Metaphysics in Secular Thought"," T R ","3:00 - 4:30 pm","HUM 401","Kiarina Kordela","3 / 25"
"GERM 294-01","10410","Freedom and Its Discontents"," T R ","1:20 - 2:50 pm","HUM 213","David Martyn","9 / 15"
"GERM 308-01","10412","German Cultural History: Failed and Successful Revolutions"," T R ","1:20 - 2:50 pm","HUM 401","Kiarina Kordela","9 / 20"
"GERM 308-L1","10413","German Cultural History I Lab","  W  ","2:20 - 3:20 pm","HUM 212","Francesca Caligiuri Shields","5 / 12"
"GERM 308-L2","10414","German Cultural History I Lab","  W  ","12:00 - 1:00 pm","HUM 214","Francesca Caligiuri Shields","8 / 12"
"GERM 363-01","10415","The Fairy Tale (Grimms to Disney)"," T R ","9:40 - 11:10 am","HUM 213","David Martyn","4 / 18"
"HIST 113-F1","10416","Time Travelers: Tourism in Global History"," T R ","1:20 - 2:50 pm","MAIN 111","Jess Pearson","0 / 18"
"HIST 114-01","10417","History of Africa to 1800","M W F","1:10 - 2:10 pm","THEATR 213","Tara Hollies","0 / 20"
"HIST 137-01","10418","From Confederation to Confederacy: US History from Independence to Civil War","M W F","2:20 - 3:20 pm","LIBR 250","Linda Sturtz","2 / 18"
"HIST 140-01","10419","Introduction to East Asian Civilization"," T R ","3:00 - 4:30 pm","MAIN 009","James Coplin","11 / 25"
"HIST 181-01","10421","Introduction to Latin America"," T R ","3:00 - 4:30 pm","THEATR 203","Ernesto Capello","1 / 21"
"HIST 194-01","10424","Introduction to the History of South Asia","M W F","9:40 - 10:40 am","CARN 105","Niharika Yadav","15 / 25"
"HIST 194-F1","10423","Exploring Gichigami: Indigenous Histories of Lake Superior"," T R ","1:20 - 2:50 pm","MAIN 001","Katrina Phillips","0 / 17"
"HIST 209-01","10426","Civil Rights in the United States","M W F","2:20 - 3:20 pm","MAIN 010","Walter Greason","0 / 25"
"HIST 213-01","10428","Women in African History","M W F","12:00 - 1:00 pm","THEATR 213","Tara Hollies","10 / 20"
"HIST 225-01","10429","Native History to 1871"," T R ","9:40 - 11:10 am","MAIN 010","Katrina Phillips","1 / 20"
"HIST 228-01","10431","The Law, Economy, and Family in the Anglo-American Tradition","M W F","12:00 - 1:00 pm","MAIN 002","Linda Sturtz","9 / 18"
"HIST 229-01","10433","Narrating Black Women’s Resistance","M W F","1:10 - 2:10 pm","MAIN 010","Walter Greason","9 / 25"
"HIST 234-01","10303","U.S. Environmental History","M W F","2:20 - 3:20 pm","THEATR 205","Christopher Wells","-1 / 24"
"HIST 252-01","10436","Conversion and Inquisition: Religious Change","M W  ","8:00 - 9:30 am","MAIN 009","Karin Vélez","9 / 20"
"HIST 256-01","10437","Transatlantic Slave Trade","M W F","9:40 - 10:40 am","MAIN 002","Linda Sturtz","7 / 18"
"HIST 262-01","10728","Revolutionary Russia and the Soviet Union"," T R ","3:00 - 4:30 pm","HUM 213","Alan Barenberg","8 / 20"
"HIST 265-01","10439","Europe in the Era of World War"," T R ","9:40 - 11:10 am","MAIN 111","Jess Pearson","0 / 20"
"HIST 294-01","10724","Environment and Empire","M W F","10:50 - 11:50 am","ARTCOM 202","Maria Fedorova","2 / 25"
"HIST 294-02","10726","Us vs Them: The Cold War and Its Culture"," T R ","9:40 - 11:10 am","THEATR 201","James von Geldern","-2 / 20"
"HIST 294-03","10828","Historical Journey: From Greek Theater to the Restoration","M W F","12:00 - 1:00 pm","THEATR 101","Randy Reyes","1 / 12"
"HIST 305-01","10852","Telling Queer and Trans Stories: Oral History as a Method and Practice"," T R ","3:00 - 4:30 pm","CARN 206","Myrl Beam","4 / 15"
"HIST 394-01","10440","Visualizing Empire"," T R ","9:40 - 11:10 am","HUM 215","Ernesto Capello","6 / 15"
